회사,근무지,고용형태,모집명,주요업무,자격요건,우대사항,자격요건 키워드,우대사항 키워드,직군,URL
오케스트로,서울시 영등포구 여의대로 108 PARC1 NH금융타워(PARK ONE TOWER 2) 빌딩 43층,경력 3-7년,클라우드 플랫폼 디자이너,"['클라우드 솔루션 서비스의 제품 경험(UX) 설계와 UI 디자인 주도하고, 복수 솔루션 간 일관성과 재사용성을 갖춘 인터페이스를 설계 합니다.', '클라우드 솔루션 서비스 UX 설계 및 UI 디자인 (사용자의 관점에서 서비스를 설계하며, 사용자 경험을 최우선으로 고려합니다.)', '다수 솔루션에 공통 적용되는 디자인 시스템(토큰/컴포넌트/패턴) 설계·운영 (누구나 쉽게 이해하고 편리하게 사용할 수 있는 직관적인 인터페이스를 제공하는데 집중합니다.)', '조직 리더/기획자/개발자 등 다양한 직군 및 유관 부서와 협업하여 더 나은 사용자 경험 디자인']","['경력 3년 ~ 7년 이하 이신 분', 'Web UX/UI에 대한 이해도가 있는 분', 'Figma 기반의 디자인 컴포넌트 라이브러리 운영 경험', '포트폴리오 제출 필수 (문제 해결과정 명시, 기여 내용 명시, 1차 실무자 인터뷰 시 포트폴리오 기준으로 프로젝트 1개 이상 설명)']","['기술 중심적으로 구현된 제품을 사용자 경험 중심으로 디자인한 경험 (유사 도메인 경력)', '높은 충실도(hi-fi)의 프로토타입 제작 능력', '정적·동적인 일러스트/아이콘 제작 능력', 'html/css/js에 대한 이해도 보유', '새로운 기술에 대한 관심과 지속적인 성장을 추구하시는 분']",['Figma'],"['HTML', 'CSS', 'Javascript']",프론트엔드,https://www.wanted.co.kr/wd/311818
패러다임시프트,"서울 강남구 테헤란로81길 26, 6층 패러다임시프트",경력 3-5년,Backend Engineer (3년 이상),"['Node.js(NestJS) 기반 API 설계·개발 및 성능 최적화', '실시간 알림/피드 시스템 및 포인트/정산 로직 고도화', 'CI/CD 파이프라인 및 데이터 파이프라인 구축/운영', '서비스 성장 단계에서 발생하는 대규모 트래픽/데이터 처리 문제 해결']","['3년 이상의 백엔드 개발 경력 혹은 이에 준하는 경험', 'Node.js 기반 서비스의 개발·배포·운영 경험', 'AWS 등 클라우드 환경 활용 경험', 'RDBMS 및 NoSQL 활용 경험, 데이터 모델링 역량', '문제 해결 역량: 제한된 리소스 속에서도 최적의 솔루션을 찾아가는 태도', '사용자 경험과 고객 가치를 최우선으로 생각하는 마인드']","['IaC(Terraform 등) 경험', '커머스/소셜/핀테크 서비스 아키텍처 설계 및 운영 경험', '대규모 이벤트 트래킹, 데이터 분석/추천 시스템 경험', '사내 스터디·기술 공유 세션 참여 및 주도 경험', '다수의 프로젝트를 리드하거나 협업 경험을 가진 분']","['NoSQL', 'NodeJS', 'MySQL', 'AWS DynamoDB']",[],백엔드,https://www.wanted.co.kr/wd/311826
멋쟁이사자처럼,"서울특별시 종로구 종로3길 17, D1동 16층(청진동, D타워)",경력 1년,KDT 프론트엔드 부트캠프 강사,"['KDT 프론트엔드 부트캠프 강의 커리큘럼을 설계하고 진행', '학생들의 코드 리뷰, 프로젝트 지도, 피드백 제공을 통해 학습 성과 높임', '학습 진도와 수준을 주기적으로 점검하고, 필요한 경우 보충 및 맞춤형 학습 방안 제시', '강의 자료, 과제 및 평가 기준을 직접 개발·업데이트', '교육 운영팀과 협업하여 강의 일정, 학생 관리, 기술 리소스 확보 등 수업 운영 지원', '멘토링과 상담을 통해 학습 동기 부여 및 진로 방향, 취업 준비 지원', '웹 프론트엔드 최신 기술을 꾸준히 학습하고 강의에 반영', '수강생에게 최고의 학습 경험을 제공하기 위해 필요한 다양한 업무 수행']","['프론트엔드 개발 경력 3년 이상 보유', '실무 프로젝트 경험이 풍부', '교육이나 강의 경험(부트캠프, 기업 트레이닝, 워크숍 등)이 있음', 'HTML/CSS에 능숙', '최신 프론트엔드 기술 스택을 강의에 적용 가능', 'Git/Github을 활용한 협업과 형상관리 가능', '코드 리뷰, 디버깅, 퍼포먼스 최적화, 웹 접근성·반응형 디자인 경험 보유', '복잡한 내용을 명확하고 쉽게 전달할 수 있는 커뮤니케이션 역량 보유', '책임감 있고 문제 해결 지향적이며 일정과 마감을 준수할 수 있음', '학생 중심의 사고를 가지며 멘토링·코칭 역량 보유']","['JavaScript(ES6+), React, Next.js 등 최신 프론트엔드 기술 스택에 능숙', 'NCS 강사 등록(직종: 정보기술개발, 점수 55점 이상)', '오픈소스 기여나 개인 프로젝트로 프론트엔드 생태계에 참여 경험 있음', 'Typescript, Webpack, Babel, ESLint 등 도구 설정과 빌드 시스템 구성 경험 있음', 'UI/UX 원칙, 웹 접근성(A11y), 성능 최적화에 대한 깊은 이해 보유']","['Git', 'CSS', 'HTML', 'Github']","['Babel', 'ESLint', 'Webpack', 'Javascript', 'NextJS', 'ReactJS', 'Typescript']",프론트엔드,https://www.wanted.co.kr/wd/311835
코드비전,"서울 서대문구 연세로 50, 연세대학교 공학원 242호",인턴,풀스택 개발자(Full-stack Developer),"['AI 기반 SaaS 플랫폼 아키텍처 설계 및 핵심 기능 개발', '풀스택 개발팀 리딩: 목표 설정, 코드 리뷰, 멘토링', 'AI·머신러닝 등 최신 기술 검토 및 서비스 적용', 'CI/CD 구축, 테스트 자동화 등 개발 프로세스 개선']","['5년 이상의 웹 서비스 개발 경력 또는 그에 준하는 실력을 갖춘 분', 'React, Vue, Angular 등 하나 이상의 최신 프론트엔드 프레임워크에 대한 깊은 이해', 'Python, Node.js, Java, Go 등 백엔드 언어 및 프레임워크 사용에 능숙한 분', 'AWS, GCP, Azure 등 클라우드 환경에서의 서비스 개발 및 운영 경험', 'Docker, Kubernetes 등 컨테이너 기술에 대한 이해와 사용 경험', '팀을 이끌고 프로젝트를 성공적으로 이끈 경험이 있는 분', '원활한 커뮤니케이션 능력과 동료와 함께 성장하는 것을 즐기는 분']","['AI/ML 모델을 활용한 서비스 개발 또는 상용화 경험', '대용량 데이터 처리 및 분산 시스템 설계 경험', 'SaaS(Software-as-a-Service) 비즈니스 및 아키텍처에 대한 높은 이해도', '오픈소스 프로젝트 참여 또는 기술 블로그 운영 경험', '애자일/스크럼 등 유연한 개발 문화에 대한 경험']","['Angular', 'Kubernetes', 'Go', 'Java', 'AWS DynamoDB', 'Docker', 'NodeJS']",['Machine learning'],백엔드,https://www.wanted.co.kr/wd/311846
펄송,"서울 강남구 테헤란로26길 14, 13층 펄송",경력 3-7년,Java(Spring) 백엔드 개발자 (3~7년),"['쇼핑몰 플랫폼 백엔드 개발', '데이터베이스 모델링 및 성능 최적화', '운영 중인 서비스 API의 리팩토링, 성능 개선 및 장애 대응', 'AWS 기반 서버/인프라 운영 지원 (배포 자동화, 로그/모니터링 관리 등)', '프론트엔드(웹/앱) 개발자와의 긴밀한 협업 및 기술적 의견 제시']","['Spring Boot 2.0+/Java 11+ 기반의 견고한 서버 개발 경험 3년 이상', 'MySQL/PostgreSQL 데이터베이스 설계 및 복잡한 쿼리 최적화 경험', 'Linux 환경에서의 웹 서비스 운영 및 배포 경험', 'RESTful API 설계 및 구현, 대용량 트래픽 처리 경험', 'JPA/Hibernate 등 ORM 사용 경험', 'Git을 활용한 형상 관리 및 협업 경험', '운영 환경에서 발생하는 이슈 분석 및 장애 대응 경험', '기술 방향에 맞춰 주도적으로 개발을 수행할 수 있는 역량']","['AWS/GCP 클라우드 인프라 구축 및 운영 경험', 'Elasticsearch, Redis, Kafka 등 분산형 시스템 연동 또는 검색/메시징 기능 개발 경험', 'AWS 클라우드 환경 운영 경험 (EC2, RDS, S3, CloudWatch 등)', 'CI/CD 환경 구축 또는 운영 경험 (Docker, Jenkins, GitHub Actions 등)', 'Swagger, OpenAPI 등 API 문서화 도구 사용 경험', '클린 코드, 리팩토링, 객체지향 설계 원칙에 대한 높은 이해', '서비스 기획 및 아이디어 제안에 적극적으로 참여하는 분', 'DevOps 및 인프라 자동화 학습/적용에 관심이 많으신 분', '기술 블로그, GitHub 등으로 본인의 학습 및 성과를 공유하시는 분']","['PostgreSQL', 'MySQL', 'SpringBoot', 'Java', 'Git']","['Kafka', 'Github Action', 'ElasticSearch', 'OpenAPI', 'Jenkins', 'Swagger', 'Redis', 'AWS DynamoDB', 'Docker']",백엔드,https://www.wanted.co.kr/wd/311853
블루밍비트,서울 강남구 영동대로85길 38 (진성빌딩) 8층,경력 2-4년,프론트엔드 엔지니어,"['웹/앱 서비스 및 플랫폼의 프론트엔드 개발', 'React 등 최신 기술 스택을 활용한 사용자 인터페이스 개발', '앱 내 웹뷰 환경을 위한 모바일 애플리케이션 인터페이스 구현', '백오피스(관리자 시스템) 화면 개발 및 유지보수']","['프론트엔드 서비스 개발 및 운영 경력 2년 이상 보유하신 분', 'React(Next.js) 및 TypeScript 기반 프로젝트 경험이 있으신 분', '반응형 웹 및 웹뷰 기반 모바일 환경 개발 경험이 있으신 분', '웹 접근성, 웹 표준, 크로스 브라우징에 대한 이해 및 실무 경험', '브라우저 렌더링 방식 및 웹 동작 원리에 대한 기본적인 이해', '모바일, 태블릿 등 다양한 디바이스 환경 대응 경험', '문제를 능동적으로 정의하고 해결해 나가는 주도적인 자세', '코드 리뷰 및 협업에 대한 열린 태도를 지니신 분']","['서버 사이드 렌더링(SSR) 환경에서의 개발 경험', 'React Native를 활용한 모바일 앱 개발 경험', '백오피스 시스템(관리자 도구 등) 개발 경험', '검색엔진 최적화(SEO) 구현 경험', 'AWS 환경(ECS, CloudFront, S3 등)에서의 개발 또는 운영 경험', 'Github Actions, Jenkins, Docker 등을 활용한 CI/CD 파이프라인 구축 경험', '새로운 기술에 대한 높은 호기심과 빠른 학습력', 'Jira, Linear 등 협업 툴을 활용한 일정 및 작업 관리 경험']","['NextJS', 'ReactJS', 'Typescript']","['Github Action', 'Jenkins', 'React Native', 'AWS DynamoDB', 'Docker', 'Jira', 'Linear']",프론트엔드,https://www.wanted.co.kr/wd/311856
한화투자증권,서울 영등포구 여의대로 56,계약직,기술 기획 (4년이상),"['IT 시스템 아키텍처 관리 및 개선', '신사업 추진을 위한 기술 검토 및 아키텍처 설계', 'IT 통합 관점에서 기술 검토 및 프로젝트 지원', 'IT 기술 동향 조사 및 분석', '데이터 정합성 검증 및 프로세스 모니터링']","['어플리케이션 개발 또는 시스템 인프라 구축 실무 경험', 'IT 아키텍처 설계 또는 운영 경험', '금융권 IT 기술 기반 기획 업무 수행 경험', 'IT 아키텍처 관련 지식 보유', 'IT 인프라 환경에 대한 이해']","['전산/증권 업무 자격증 소지자', '컴퓨터공학 등 전산 전공자', '영어 능통자']",[],[],백엔드,https://www.wanted.co.kr/wd/311862
넥슨코리아(NEXON),"경기도 성남시 분당구 판교로 256번길 7, 넥슨",경력 3-15년,[메이플스토리 PC] 웹 백엔드 개발자,"['Node.js 기반의 메이플스토리 게임 관련 백엔드 서비스 설계 및 개발', '프로젝트 내부에서 사용하는 웹툴 개발 전반 담당']","['Node.js를 사용한 백엔드 개발 실무 경력이 3년 이상이신 분', 'TypeScript에 대한 깊은 이해도와 실무 경험이 있으신 분', 'RESTful API 설계 및 구현 능력을 보유하신 분', 'SQL 및 NoSQL 데이터베이스 경험이 있으신 분', '커뮤니케이션 및 협업이 원활하신 분']","['NestJS 프레임워크 사용 경험이 있으신 분', 'MSA(Micro Service Architecture) 실무 개발 경험이 있으신 분', 'DevOps 개발/배포 환경 실무 경험이 있으신 분', '개인 프로젝트로 외부 서비스 배포 경험이 있으신 분', '새로운 언어 및 환경에도 바로 적응 가능하신 분', '메이플스토리 게임 내 컨텐츠/시스템에 대한 이해가 높으신 분']","['NoSQL', 'NodeJS', 'Typescript']",['NestJS'],백엔드,https://www.wanted.co.kr/wd/311872
베이글코드(Bagelcode),서울특별시 강남구 테헤란로328 (역삼동 708-1) 동우빌딩 16층,경력 1년 이상,[DATA&AI] Data Engineer,"['대규모 트래픽을 안정적으로 서빙하기 위한 확장성있는 고가용성의 데이터 서비스 플랫폼 설계 및 개발', '다양한 데이터 프로덕트 및 데이터 서비스의 성능 개선을 위한 최적화', '머신러닝을 활용하여 라이브 서비스 중인 프로덕트들에 실시간으로 피드백을 주는 데이터 서비스 개발']","['Python / Scala / Go 중 1개 이상의 언어에 능숙하신 분', '알고리즘, 데이터구조, OS, 데이터베이스 등 기본적인 전산 지식에 대한 이해를 갖추신 분', '컨테이너 기반의 서비스 배포에 익숙하신 분', '클라우드 환경에서의 개발 및 운영 경험이 있으신 분']","['대규모 시스템 아키텍처에 대한 설계 및 개발 경험이 있으신 분', 'Hadoop, Spark, Kafka, Hive 등 분산 시스템 설계 및 구축 경험이 있으신 분', '백엔드 및 서버 엔지니어로 3년 이상의 개발 경력이 있으신 분', '쿠버네티스와 같은 컨테이너 오케스트레이션 시스템에서 서비스 운영 경험이 있으신 분', 'AWS 등의 클라우드 환경에서 Terrraform 등의 IaC를 이용한 인프라 설계 및 운용 경험이 있으신 분', 'DB / SQL query 최적화 경험이 있으신 분']",['Go'],"['Kafka', 'Hadoop', 'Hive', 'Spark']",데이터,https://www.wanted.co.kr/wd/311873
카피바라,"서울 강남구 선릉로127길 5, 4-5층",경력 2년 이상,[ATOZ] 모바일게임 클라이언트 Unity 개발자 (2년 이상),"['모바일 포커게임 ATOZ POKER 게임 로직/툴/UI 코드 작성 및 유지보수', '모바일 게임(포커류) Unity 클라이언트 개발', 'C++ TCP/IP 서버와의 네트워크 연동 및 프로토콜 처리', 'Unity Cloud + GitHub 기반 환경에서의 협업 및 빌드/배포 관리', '리소스 최적화 및 게임 UX 개선(게임 용량, 패치 파일 관리, 다운로드 방식 최적화 등)', '추후 데스크탑 런처(PC 전용 클라이언트) 개발 참여']","['Unity(C#) 기반 모바일 게임 개발 경험 2년 이상 또는 그에 준하는 경력', 'TCP/IP 또는 소켓 기반 네트워크 게임 개발 경험', 'GitHub 또는 형상관리 도구 활용 경험', '성능 최적화, 리소스 관리, UX 개선에 대한 이해와 경험', '원활한 커뮤니케이션 및 협업 능력']","['게임 클라이언트 최적화 경험 (패치 파일 구조, 메모리/프레임 최적화 등)', '멀티플랫폼(모바일+PC) 클라이언트 개발 경험', '디자인 툴(Figma, Photoshop, Illustrator 등) 활용 경험', '런처/패치 시스템 제작 경험', '소셜 로그인/결제 시스템 구현 경험', '모바일 플랫폼(Android, iOS) 빌드 및 스토어 배포 경험']","['Unity', 'C#', 'Github']","['Android', 'Figma', 'iOS']",게임,https://www.wanted.co.kr/wd/311882
코드비전,"서울 서대문구 연세로 50, 연세대학교 공학원 242호",인턴,[인턴] 프론트엔드 개발자,"['React, Typescript, Tailwind CSS에 대한 깊은 이해', 'Websocket, RESTful API 등 다양한 API 연동 경험', '인공지능 모델과의 연동', 'Git, Jenkins, Firebase를 활용한 협업 경험', '연구개발 R&D 및 프로젝트 참여', '과제 보고서 작성, 논문, 발표 등 문서화 및 커뮤니케이션 능력', '다양한 업무 경험을 통해 성장할 수 있도록, 배정 업무는 상황과 역량에 따라 유연하게 조정']","['프론트앤드에 관심이 있는 전공자', '인턴십 기간 풀타임 근무가 가능한 분', '인턴십 종료 후 정규직 입사가 가능한 분', '남성의 경우, 병역필 또는 면제자인 분', '해외여행에 결격 사유가 없는 분']","['JavaScript(ES6+), TypeScript에 대한 깊은 이해', 'React, Vue.js, Angular 등 프론트엔드 프레임워크 활용 능력', 'HTML5, CSS3, Webpack, Vite 등 웹 표준 및 모던 프론트엔드 개발 환경에 대한 경험', 'REST API, GraphQL 기반의 서버 연동 및 비동기 통신에 대한 이해', '브라우저 렌더링, 성능 최적화, 반응형 UI/UX 구현 경험', '디자인 시스템, UI 라이브러리 활용 및 사용자 경험(UX)에 대한 감각', '컴퓨터 관련 학부 및 관련 전공자', '원활한 커뮤니케이션 역량과 적극적인 문제 해결 태도를 지닌 분', '새로운 기술과 도구에 대해 열린 자세를 가지고, 빠르게 습득·활용 가능한 분']",[],"['GraphQL', 'VueJS', 'Angular', 'HTML', 'CSS', 'Webpack', 'Javascript', 'ReactJS', 'Vite', 'Typescript']",프론트엔드,https://www.wanted.co.kr/wd/311885
아일리스프런티어(ailysfrontier),"서울 중구 수표로 31, 4층",경력 1-5년,React 기반 생성형 AI 서비스 웹 화면 개발,"['React 기반 인공지능 솔루션 화면 개발', '재사용 가능한 UI/UX 컴포넌트 개발', '프로젝트 요구사항에 맞춰 관리자화면을 개발', '프로젝트 종료 이후 안정화 기간에 고객요구사항에 대응']","['HTML, CSS, Javascript 에 대한 이해가 있으신 분', '컴퓨터과학 기본지식(자료구조, 알고리즘, 운영체제)에 대한 이해가 있으신 분', 'UI/UX 개발에 흥미가 있고 높은 가치를 두고 있으신 분']","['경력자 우대', 'Nextjs 웹 프레임워크 기반 프로젝트 경험이 있으신 분', 'Spring 웹 프레임워크 기반 프로젝트 경험이 있으신 분', 'Figma 디자인을 활용한 프론트엔드 개발 경험이 있으신 분', 'QA 혹은 프로그램 테스트 업무 경험이 있으신 분', 'Typescript 개발 경험이 있으신 분']","['HTML', 'CSS', 'Javascript']","['Spring', 'NextJS', 'Figma', 'Typescript']",프론트엔드,https://www.wanted.co.kr/wd/311896
팀벨,"서울 강남구 강남대로94길 66, 산돌빌딩 3~5층",경력 1년,시스템 엔지니어 - IT 솔루션 구축 및 장애 대응,"['Docker 공객처객쬨개̧γμμ', '사과 IT 솔루션 제품͡등 운⧿ 대응', '서비스 중 승ʔ개 조치 조침 조이', '네ɵ워λ, 서버, DB 관리 조ʟ', '모니ʔ링 & 로그 조석', 'Python, Shell Script 자동화 관☆', '고객Τ 시ι스ɴ 연동 안⧿ 수Τ', '장비 이동 명Ƅ 설체']","['Docker 실⧿', '인프라 과⧿(네λ워λ, 서버, DB)', '조치 조카 고⚞고 소Τ', 'Python 혹Τ Shell Script 사구ğ']","['곡°ΤƄ 해¹ 고ΤγƄ 곬ʔƄ 수Τ 곬ʔƄ', '브λ 장치 설체 곬ʔƄ', '비밥회 안⧿ğ', '운θğ']",['Docker'],[],DevOps / 시스템 관리자,https://www.wanted.co.kr/wd/311936
셀타스퀘어,서울 강남구 봉은사로 443,경력 1년 이상,ITQA,"['QA 전략과 일정 수립 및 실행', '기획/개발/디자인과 협업하여 초기 단계에서부터 개선점 및 이슈 파악', '이슈 발생에 따른 재현과 이슈 추적 및 관리, 분석', '기존 서비스와 신규 서비스 검증, 모니터링', '테스트케이스 작성 및 커버리지 관리', '릴리즈 전 품질 기준 충족 여부 확인', 'CSV(Computer System Validation) 관리']","['소프트웨어 QA 경력 1년 이하의 경험을 보유하신 분', '명세 기반 테스트 케이스 작성을 원활하게 수행하실 수 있는 분', '유연한 커뮤니케이션으로 개발, 기획, 디자인에 대한 리뷰 및 피드백을 원활히 해주실 수 있는 분', 'SW 개발 생명주기, CI/CD 파이프라인 이해가 있으신 분']","['제약 산업에서의 품질 관리 경험이 있으신 분', '품질 표준 정의 및 실행 경험이 있으신 분', '자체 솔루션 프로젝트 QA/QC를 진행한 경험이 있으신 분', '다양한 Test Tool에 (Jira, Clickup , Slack, GitHub, Notion, TestRail, Postman 등) 대한 경험이 있으신 분', '프로세스 개선점 도출 및 개선에 대해 주도적으로 의견을 제안할 수 있는 분', 'CSV(Computer System Validation) 업무 경험이 있으신 분']","['CircleCI', 'Bitrise', 'Argo CD', 'Github Action', 'Github', 'Travis CI', 'Gitlab', 'AWS CodeBuild', 'Jenkins', 'Go CD', 'AWS CodeDeploy', 'AWS CodePipeline', 'Drone']","['Notion', 'Slack', 'Jira', 'Postman']",QA,https://www.wanted.co.kr/wd/311970
비바이노베이션,서울특별시 강남구 역삼동 653-4 B123~B126호,경력 3-8년,React Native Developer,['착한의사 모바일 앱 서비스 개발'],"['React Native 전환 전 까지 iOS Swift 앱 유지보수 병행이 가능하신 분', 'React Native 개발 경력을 보유하신 분']","['React 와 Swift 개발이 능숙하신 분', '앱 모니터링 서비스(Crashlytics 외 Sentry, DataDog 등)에 능숙하신 분', '모바일 네이티브 앱의 WebView 지원이 능숙하신 분']","['Swift', 'React Native', 'iOS']",[],모바일,https://www.wanted.co.kr/wd/311997
토스뱅크,서울특별시 강남구 테헤란로 131,계약직,Product Operations Specialist,"['스쿼드의 구성원과 협업하여 서비스가 안정적으로 운영될 수 있도록 지원해요.', 'CRM 캠페인 실행, 프로모션 운영, 실험 세팅 등 운영성 업무는 특히 주도적으로 수행해요.', '운영 프로세스를 개선하거나 어드민 기능을 도입하여 운영 효율성을 지속적으로 높여요.', '다양한 이해관계자와 긴밀하게 소통하며 제품 관련 문제를 해결해요.', '고객의 니즈를 분석하고 데이터 기반으로 서비스 개선점을 발굴해요.']","['서비스와 관련된 다양한 이해 관계자의 요구 사항을 파악하고 조율할 수 있는 분이 필요해요.', '웹, 앱 서비스에 관심이 많고 직간접적으로 서비스, 프로모션 운영 및 기획을 경험해본 분이 필요해요.', '이해관계자와 긴밀하게 커뮤니케이션하여 제품과 관련된 다양한 문제를 해결할 수 있는 분이 필요해요.', '현재 Product Manager 관련 경험이 없더라도 학습에 대한 의지가 있는 분이 필요해요.']","['프로세스를 개선하거나 운영 업무를 효율화를 해본 경험이 있다면 좋아요.', '데이터 분석을 위한 지식과 기술을 가지고 있다면 좋아요.']",[],[],PM·PO,https://www.wanted.co.kr/wd/312001
팀플백,"서울 용산구 한강대로 366, 트윈시티 남산 2 (오피스동) 6-9층 패스트 파이브 서울역점",계약직,"Agent AI 기반, 중고등 사회/과학 문항 연구원","['중/고등학교 사회·과학 서술형 문항 개발', '각 문항에 대해 AI 채점 최적화 프롬프트 작성', '교육학적 타당성과 AI 채점 성능을 동시에 고려한 문항/프롬프트 개선 작업', '연구진 및 AI 엔지니어와의 협업을 통한 문항 품질 검증']","['사회과학/자연과학 중 하나 이상의 영역에 대한 전문적 이해와 교육 경험', '중/고등학교 서술형 문항 개발 경험(또는 이에 준하는 역량)', '새로운 기술과 AI에 대한 호기심, 이를 적극적으로 학습하고 활용하고자 하는 태도', '논리적이고 체계적인 글쓰기 능력', '학력 무관']","['석사 이상 우대', '교육학 전공자 우대', '각종 개발 관련 지식을 가진 자 우대(자격증 등 알려주세요!)', '각종 AI서비스 사용 경험이 많은 자 우대(사용 경험을 서류에 표현해주세요!)']",['Machine learning'],[],AI,https://www.wanted.co.kr/wd/312003
코웨이,서울특별시 구로구 디지털로 26길 38,계약직,IoT플랫폼 기술지원,"['제품 정보 입력 관리', '제품 서버 연동 프로토콜 테스트 수행 및 제어 사양 확인', '앱 개발 지원', '데일리 데이터 모니터링', '테스트 룸 및 시료 관리', '현업 문의 대응 및 요구사항 분석/설계', '타시스템과의 인터페이스 및 솔루션 연계']",['관련 경력 1년 이상'],['관련 경력 1년 이상'],[],[],백엔드,https://www.wanted.co.kr/wd/312007
두꺼비세상,"구로구 디지털로 300, 15층 (주) 두꺼비세상",경력 3-5년,[피터팬의 좋은방 구하기] Product Designer,"['앱·웹 전반의 UI/UX를 설계하고 일관된 제품 경험을 제공해요.', '기획자·개발자와 협업하여 프로덕트 디자인을 구현하고, 사용자 피드백을 반영해 개선해요.', '디자인 시스템을 구축·운영하고, 구성원들과 함께 고도화해요.', '데이터와 리서치를 기반으로 문제를 정의하고 사용자 경험을 개선할 솔루션을 도출해요.', '목적 조직 디자이너·PM과 함께 디자인 리뷰를 진행하며 서비스 품질을 높여요.']","['Product Designer로서 3~5년 앱/웹 서비스 디자인 경험이 있거나, 그에 준하는 역량을 갖추신 분', 'Figma 등 디자인 툴을 활용해 UI/UX 프로토타입을 제작하고 실제 서비스에 반영한 경험이 있으신 분', '정량·정성 데이터 기반 UX 설계 및 개선 프로젝트를 직접 수행해본 경험이 있으신 분', '디자인 시스템을 구축하거나 운영한 경험이 있으신 분', '기획·개발 등 타 직군과 원활하게 협업해 프로젝트를 성공적으로 이끈 경험이 있으신 분', 'Jira, Confluence 등 협업 툴을 활용한 버그 관리 경험이 있는 분']","['A/B Test, 지표 설정 등 데이터 기반 의사결정 경험이 있으신 분', '부동산 서비스 도메인 이해도가 높거나, 집을 구해본 경험을 통해 사용자 여정에 깊이 공감할 수 있으신 분', '사용자 관점과 비즈니스 관점을 균형 있게 고려해 디자인 솔루션을 제안할 수 있으신 분', '애자일·스프린트 기반 프로덕트 조직에서 협업한 경험이 있으신 분']","['Jira', 'Confluence', 'Figma']",[],디자인,https://www.wanted.co.kr/wd/312015
로앤컴퍼니(lawtalk),서울 강남구 테헤란로 420 KT선릉타워 West 19층 (선릉역 부근 - 1층이 대신증권),경력 1년 이상,SaaS Account Manager,"['신규 고객과의 계약 체결 및 서비스 시작 과정 전반 관리', '세금계산서 발행, 비용 청구 등 정산 관련 업무 수행', 'CRM 관련 내부 시스템을 통해 고객 계약 정보와 정산 데이터 최신 상태 유지', '제품 가격 정책, 이용 조건 등 계약 관련 변경 사항 안내', '기존 고객과의 관계 유지 및 강화, 서비스 만족도 관리', '고객 이용 데이터 분석을 통한 추가 서비스 제공 기회 발굴 및 제안', '계약 갱신 시점에 맞춰 고객 요구사항 파악 및 최적 제안 통한 계약 연장', '고객 피드백 수집 및 유관 부서에 전달하여 제품 및 서비스 개선 기여']","['B2B 환경에서 고객 관리, 고객 성공, 또는 사업 개발/운영 관련 역할 1년 이상 경험', '꼼꼼함과 책임감을 바탕으로 빠르게 업무 전문성 높이기']","['클라우드 기반의 SaaS 프로덕트를 다루며 고객 계약 및 문의 응대 경험', '세일즈 오퍼레이션 또는 빌링 시스템 운영 등 행정 지원 업무 경험', 'CRM(Salesforce 등)을 활용한 고객 관계 체계적 관리 경험', '법률 시장의 특수성이나 리걸테크 산업에 대한 관심과 이해도', '로펌/법무팀 근무 경험']",['Salesforce'],[],세일즈,https://www.wanted.co.kr/wd/312020
로앤컴퍼니(lawtalk),서울 강남구 테헤란로 420 KT선릉타워 West 19층 (선릉역 부근 - 1층이 대신증권),경력 1년 이상,SaaS Sales Manager,"['신규 고객 발굴 및 확보', '담당 시장의 잠재 고객 발굴 및 아웃바운드 영업 전략 수립/실행', '콜드콜, 이메일, 방문 등을 통한 신규 영업 기회 창출 및 파이프라인 구축', '고객 방문 및 미팅을 통한 제품 가치 전달 및 시연', '고객 니즈에 맞는 최적의 솔루션 제안 및 계약 조건 협상/체결', '월/분기별 영업 목표 달성 및 성과 관리', 'CRM을 비롯한 내부 시스템에 영업 활동 및 고객 정보 기록/관리']","['B2B 환경에서 사업 개발/외부 영업 등 신규 고객 발굴 관련 역할 1년 이상 경험', '목표지향적 사고와 강력한 실행력을 바탕으로 영업 전문가로 지속 성장']","['목표를 초과 달성해 본 경험 등 성공적인 영업 실적 보유', '클라우드 기반의 SaaS 프로덕트에 대한 높은 이해도', '고객을 설득할 수 있는 구두 제안 및 문서 작성 능력', '법률 시장의 특수성이나 리걸테크 산업에 대한 관심과 이해도 (로펌/법무팀 근무 경험 포함)']",[],[],세일즈,https://www.wanted.co.kr/wd/312021
비버웍스,"서울 강남구 도산대로8길 12, 3층",경력 2년 이상,비버페이 시스템엔지니어,"['비버페이 풀스택 개발 및 유지보수', '홈페이지 유지 보수', '비버페이 시스템 관리(서버/DB/네트워크)']","['관련 경력 2년 이상(백엔드 개발 또는 시스템 운영 경력 최소 1년 이상)', 'JavaScript 언어 및 Node.js 기반 개발 경험 보유', 'Java 및 SpringBoot 프레임워크 기반 개발 경험 보유', '유닉스 또는 리눅스 사용 경험 보유', 'DBMS에 대한 기본 개념을 이해하고 실무에서 SQL 작성 경험 보유']","['결제 관련 업무 경력 보유(모바일 인앱 결제 개발 경험 포함)', '웹 표준 기술로 인증 및 보안 관련 개발 경력 보유', '네트워크 장비 운영 경험 보유', '클라우드 서비스를 이용해서 시스템 인프라 관리 경험 보유', '정보통신 관련 입상']","['SpringBoot', 'Javascript', 'Java']",[],백엔드,https://www.wanted.co.kr/wd/312022
